canonical	oriented	S	r	c	d0	d1	a0	a1	sign	pair_orbits	A_per_orbit	A_checked	triple_pass	dfs_calls	dfs_nodes	result	seconds
5,7,0,7,0,7	5,7,0,7,0,7	26	5	7	0	7	0	7	1	14225	8	113800	0	0	0	UNSAT	0.004572
5,7,0,7,0,7	5,7,7,0,7,0	26	5	7	7	0	7	0	1	14225	8	113800	0	0	0	UNSAT	0.004554
5,7,0,7,1,6	5,7,1,6,0,7	26	5	7	1	6	0	7	0	24985	8	199880	0	0	0	UNSAT	0.007879
5,7,0,7,1,6	5,7,6,1,7,0	26	5	7	6	1	7	0	0	24985	8	199880	0	0	0	UNSAT	0.008000
5,7,0,7,2,5	5,7,2,5,0,7	26	5	7	2	5	0	7	0	24985	8	199880	0	0	0	UNSAT	0.007813
5,7,0,7,2,5	5,7,5,2,7,0	26	5	7	5	2	7	0	0	24985	8	199880	0	0	0	UNSAT	0.031144
5,7,0,7,3,4	5,7,3,4,0,7	26	5	7	3	4	0	7	0	24985	8	199880	0	0	0	UNSAT	0.006470
5,7,0,7,3,4	5,7,4,3,7,0	26	5	7	4	3	7	0	0	24985	8	199880	0	0	0	UNSAT	0.006396
5,7,1,6,1,6	5,7,1,6,1,6	26	5	7	1	6	1	6	1	14225	224	3186400	0	0	0	UNSAT	0.014960
5,7,1,6,1,6	5,7,6,1,6,1	26	5	7	6	1	6	1	1	14225	224	3186400	0	0	0	UNSAT	0.015031
5,7,1,6,2,5	5,7,2,5,1,6	26	5	7	2	5	1	6	0	24985	224	5596640	0	0	0	UNSAT	0.026151
5,7,1,6,2,5	5,7,5,2,6,1	26	5	7	5	2	6	1	0	24985	224	5596640	0	0	0	UNSAT	0.046942
5,7,1,6,3,4	5,7,3,4,1,6	26	5	7	3	4	1	6	0	24985	224	5596640	0	0	0	UNSAT	0.032723
5,7,1,6,3,4	5,7,4,3,6,1	26	5	7	4	3	6	1	0	24985	224	5596640	0	0	0	UNSAT	0.051010
5,7,2,5,2,5	5,7,2,5,2,5	26	5	7	2	5	2	5	1	14225	1568	22304800	0	0	0	UNSAT	0.114402
5,7,2,5,2,5	5,7,5,2,5,2	26	5	7	5	2	5	2	1	14225	1568	22304800	0	0	0	UNSAT	0.107402
5,7,2,5,3,4	5,7,3,4,2,5	26	5	7	3	4	2	5	0	24985	1568	39176480	0	0	0	UNSAT	0.202968
5,7,2,5,3,4	5,7,4,3,5,2	26	5	7	4	3	5	2	0	24985	1568	39176480	0	0	0	UNSAT	0.206759
5,7,3,4,3,4	5,7,3,4,3,4	26	5	7	3	4	3	4	1	14225	3920	55762000	0	0	0	UNSAT	0.301412
5,7,3,4,3,4	5,7,4,3,4,3	26	5	7	4	3	4	3	1	14225	3920	55762000	0	0	0	UNSAT	0.297212
5,7,3,4,4,3	5,7,3,4,4,3	26	5	7	3	4	4	3	0	24985	3920	97941200	0	0	0	UNSAT	0.538224
5,7,3,4,4,3	5,7,4,3,3,4	26	5	7	4	3	3	4	0	24985	3920	97941200	0	0	0	UNSAT	0.545133
6,6,0,6,0,8	6,6,0,6,0,8	26	6	6	0	6	0	8	0	16496	1	16496	0	0	0	UNSAT	0.004856
6,6,0,6,0,8	6,6,6,0,8,0	26	6	6	6	0	8	0	0	16496	1	16496	0	0	0	UNSAT	0.005250
6,6,0,6,1,7	6,6,1,7,0,6	26	6	6	1	7	0	6	0	16496	28	461888	0	0	0	UNSAT	0.007690
6,6,0,6,1,7	6,6,7,1,6,0	26	6	6	7	1	6	0	0	16496	28	461888	0	0	0	UNSAT	0.007443
6,6,0,6,2,6	6,6,2,6,0,6	26	6	6	2	6	0	6	0	16496	28	461888	0	0	0	UNSAT	0.007358
6,6,0,6,2,6	6,6,6,2,6,0	26	6	6	6	2	6	0	0	16496	28	461888	0	0	0	UNSAT	0.006748
6,6,0,6,3,5	6,6,3,5,0,6	26	6	6	3	5	0	6	0	16496	28	461888	0	0	0	UNSAT	0.006388
6,6,0,6,3,5	6,6,5,3,6,0	26	6	6	5	3	6	0	0	16496	28	461888	0	0	0	UNSAT	0.006310
6,6,0,6,4,4	6,6,4,4,0,6	26	6	6	4	4	0	6	0	16496	28	461888	0	0	0	UNSAT	0.006309
6,6,0,6,4,4	6,6,4,4,6,0	26	6	6	4	4	6	0	0	16496	28	461888	0	0	0	UNSAT	0.027265
6,6,0,7,0,7	6,6,0,7,0,7	26	6	6	0	7	0	7	1	10132	8	81056	0	0	0	UNSAT	0.003379
6,6,0,7,0,7	6,6,7,0,7,0	26	6	6	7	0	7	0	1	10132	8	81056	0	0	0	UNSAT	0.002993
6,6,0,7,1,6	6,6,1,6,0,7	26	6	6	1	6	0	7	0	16496	8	131968	0	0	0	UNSAT	0.004864
6,6,0,7,1,6	6,6,6,1,7,0	26	6	6	6	1	7	0	0	16496	8	131968	0	0	0	UNSAT	0.004827
6,6,0,7,2,5	6,6,2,5,0,7	26	6	6	2	5	0	7	0	16496	8	131968	0	0	0	UNSAT	0.004882
6,6,0,7,2,5	6,6,5,2,7,0	26	6	6	5	2	7	0	0	16496	8	131968	0	0	0	UNSAT	0.005001
6,6,0,7,3,4	6,6,3,4,0,7	26	6	6	3	4	0	7	0	16496	8	131968	0	0	0	UNSAT	0.005408
6,6,0,7,3,4	6,6,4,3,7,0	26	6	6	4	3	7	0	0	16496	8	131968	0	0	0	UNSAT	0.005681
6,6,0,8,1,5	6,6,1,5,0,8	26	6	6	1	5	0	8	0	16496	1	16496	0	0	0	UNSAT	0.004812
6,6,0,8,1,5	6,6,5,1,8,0	26	6	6	5	1	8	0	0	16496	1	16496	0	0	0	UNSAT	0.004906
6,6,0,8,2,4	6,6,2,4,0,8	26	6	6	2	4	0	8	0	16496	1	16496	0	0	0	UNSAT	0.004714
6,6,0,8,2,4	6,6,4,2,8,0	26	6	6	4	2	8	0	0	16496	1	16496	0	0	0	UNSAT	0.004906
