canonical	oriented	S	r	c	d0	d1	a0	a1	sign	pair_orbits	A_per_orbit	A_checked	triple_pass	dfs_calls	dfs_nodes	result	seconds
5,7,3,4,3,4	5,7,4,3,4,3	26	5	7	4	3	4	3	1	14225	3920	55762000	0	0	0	UNSAT	0.290591
5,7,3,4,4,3	5,7,3,4,4,3	26	5	7	3	4	4	3	0	24985	3920	97941200	0	0	0	UNSAT	0.538596
5,7,3,4,4,3	5,7,4,3,3,4	26	5	7	4	3	3	4	0	24985	3920	97941200	0	0	0	UNSAT	0.508752
6,6,0,6,0,8	6,6,0,6,0,8	26	6	6	0	6	0	8	0	16496	1	16496	0	0	0	UNSAT	0.028246
6,6,0,6,0,8	6,6,6,0,8,0	26	6	6	6	0	8	0	0	16496	1	16496	0	0	0	UNSAT	0.003916
6,6,0,6,1,7	6,6,1,7,0,6	26	6	6	1	7	0	6	0	16496	28	461888	0	0	0	UNSAT	0.006030
6,6,0,6,1,7	6,6,7,1,6,0	26	6	6	7	1	6	0	0	16496	28	461888	0	0	0	UNSAT	0.006001
6,6,0,6,2,6	6,6,2,6,0,6	26	6	6	2	6	0	6	0	16496	28	461888	0	0	0	UNSAT	0.006013
6,6,0,6,2,6	6,6,6,2,6,0	26	6	6	6	2	6	0	0	16496	28	461888	0	0	0	UNSAT	0.005932
6,6,0,6,3,5	6,6,3,5,0,6	26	6	6	3	5	0	6	0	16496	28	461888	0	0	0	UNSAT	0.005944
6,6,0,6,3,5	6,6,5,3,6,0	26	6	6	5	3	6	0	0	16496	28	461888	0	0	0	UNSAT	0.005969
6,6,0,6,4,4	6,6,4,4,0,6	26	6	6	4	4	0	6	0	16496	28	461888	0	0	0	UNSAT	0.006039
6,6,0,6,4,4	6,6,4,4,6,0	26	6	6	4	4	6	0	0	16496	28	461888	0	0	0	UNSAT	0.005969
6,6,0,7,0,7	6,6,0,7,0,7	26	6	6	0	7	0	7	1	10132	8	81056	0	0	0	UNSAT	0.002769
6,6,0,7,0,7	6,6,7,0,7,0	26	6	6	7	0	7	0	1	10132	8	81056	0	0	0	UNSAT	0.002460
6,6,0,7,1,6	6,6,1,6,0,7	26	6	6	1	6	0	7	0	16496	8	131968	0	0	0	UNSAT	0.004009
6,6,0,7,1,6	6,6,6,1,7,0	26	6	6	6	1	7	0	0	16496	8	131968	0	0	0	UNSAT	0.004019
6,6,0,7,2,5	6,6,2,5,0,7	26	6	6	2	5	0	7	0	16496	8	131968	0	0	0	UNSAT	0.004020
6,6,0,7,2,5	6,6,5,2,7,0	26	6	6	5	2	7	0	0	16496	8	131968	0	0	0	UNSAT	0.003993
6,6,0,7,3,4	6,6,3,4,0,7	26	6	6	3	4	0	7	0	16496	8	131968	0	0	0	UNSAT	0.026657
6,6,0,7,3,4	6,6,4,3,7,0	26	6	6	4	3	7	0	0	16496	8	131968	0	0	0	UNSAT	0.004125
6,6,0,8,1,5	6,6,1,5,0,8	26	6	6	1	5	0	8	0	16496	1	16496	0	0	0	UNSAT	0.003786
6,6,0,8,1,5	6,6,5,1,8,0	26	6	6	5	1	8	0	0	16496	1	16496	0	0	0	UNSAT	0.003769
6,6,0,8,2,4	6,6,2,4,0,8	26	6	6	2	4	0	8	0	16496	1	16496	0	0	0	UNSAT	0.003696
6,6,0,8,2,4	6,6,4,2,8,0	26	6	6	4	2	8	0	0	16496	1	16496	0	0	0	UNSAT	0.003590
6,6,0,8,3,3	6,6,3,3,0,8	26	6	6	3	3	0	8	0	16496	1	16496	0	0	0	UNSAT	0.003603
